,Year,Month,level_1,y_test_values,predictions
20,2018,1,Woodlawn,162513,167597
52,2018,1,South Chicago,102565,103760
71,2018,1,Bronzeville,239913,244444
73,2018,1,The Bush,67756,69684
86,2018,1,Budlong Woods,306982,310263
91,2018,1,Lake Calumet,117054,116090
100,2018,1,Pill Hill,144508,145281
105,2018,1,Printers Row,257339,259411
112,2018,1,Pilsen,305258,307511
155,2018,1,Old Edgebrook,658472,666033
166,2018,1,Gresham,122564,124433
170,2018,1,Avalon Park,123166,122920
176,2018,1,West Morgan Park,257030,258351
197,2018,1,Kilbourn Park,287678,293171
232,2018,1,East Garfield Park,133367,137249
281,2018,1,Andersonville,444163,450176
285,2018,1,Portage Park,297906,298089
313,2018,1,Bowmanville,516339,522603
380,2018,1,Longwood Manor,130603,131649
385,2018,1,Garfield Ridge,229784,231533
415,2018,1,Belmont Gardens,267815,273183
438,2018,1,Ukrainian Village,480831,493464
460,2018,1,River's Edge,626351,630945
463,2018,1,Roscoe Village,728322,746698
471,2018,1,North Mayfair,323583,328997
512,2018,1,Chicago Lawn,146430,151230
524,2018,1,Ranch Triangle,721666,731900
526,2018,1,Heart of Chicago,224969,230037
533,2018,1,Lincoln Park,534006,542388
536,2018,1,Sauganash,435685,438681
595,2018,1,Wicker Park,563144,575843
639,2018,1,Edgewater,232301,235674
684,2018,1,Archer Heights,202521,204221
694,2018,1,Winneconna Parkway,116101,115838
709,2018,1,Edgebrook,453881,456335
715,2018,1,Hanson Park,214929,220634
719,2018,1,Parkview,172406,174544
735,2018,1,Lincoln Square,406933,413742
819,2018,1,Ravenswood Gardens,592326,596605
823,2018,1,Clearing,218580,221551
856,2018,1,Hollywood Park,340328,347042
880,2018,1,South Shore,100881,103151
901,2018,1,Mount Greenwood Heights,271118,273006
948,2018,1,Stateway Gardens,245621,247853
959,2018,1,Belmont Heights,258762,261558
964,2018,1,East Ukrainian Village,515136,528236
967,2018,1,Wildwood,448173,450141
995,2018,1,Stony Island Park,148291,148846
1000,2018,1,Rosemoor,124387,126728
1017,2018,1,Edgewater Glen,442942,446490
1039,2018,1,The Island,174162,175785
1053,2018,1,O'Hare International Airport,327054,331839
1064,2018,1,Belmont Terrace,257019,259230
1076,2018,1,West Englewood,61859,64346
1087,2018,1,Schorsch Forest View,334769,338164
1105,2018,1,South Old Irving Park,344200,346603
1118,2018,1,Greektown,414572,419426
1127,2018,1,Tri-Taylor,243809,247694
1141,2018,1,Heart of Italy,231528,235451
1161,2018,1,Arcadia Terrace,342763,346132
1196,2018,1,Calumet Heights,139028,141200
55,2018,2,Noble Square,475214,466155
67,2018,2,Wicker Park,572277,575843
97,2018,2,South Shore,102290,103151
122,2018,2,West Englewood,62935,64346
172,2018,2,Parkview,172420,174544
183,2018,2,Streeterville,486995,483961
186,2018,2,Groveland Park,342207,340621
188,2018,2,West Chatham,102535,101495
205,2018,2,Lake View East,318477,315186
231,2018,2,The Robert Taylor Homes,88078,86992
250,2018,2,Back of the Yards,84636,83607
257,2018,2,Rosemoor,125656,126728
321,2018,2,Edison Park,365107,361924
370,2018,2,Sheffield Neighbors,1044267,1032943
373,2018,2,Chicago Lawn,147315,151230
375,2018,2,Oakland,324102,319634
389,2018,2,Schorsch Forest View,337320,338164
397,2018,2,Clearing,220490,221551
408,2018,2,Lake Calumet,116854,116090
430,2018,2,LeClaire Courts,159744,158930
436,2018,2,Beverly View,164388,161573
470,2018,2,Portage Park,299450,298089
505,2018,2,Englewood,50529,50054
513,2018,2,Little Village,136686,133000
515,2018,2,Lake Meadows,312981,309417
520,2018,2,Dearborn Park,454732,449707
544,2018,2,Arcadia Terrace,344847,346132
553,2018,2,Wrightwood Neighbors,680447,671722
631,2018,2,Belmont Central,258774,255699
634,2018,2,Riverdale,60723,59024
650,2018,2,South East Ravenswood,839684,829313
654,2018,2,South Chicago,103039,103760
730,2018,2,Hyde Park,379586,376700
760,2018,2,Ukrainian Village,490571,493464
763,2018,2,Woodlawn,165104,167597
779,2018,2,Kenwood,334449,331322
797,2018,2,Princeton Park,110298,109858
802,2018,2,River West,448841,442881
836,2018,2,Grand Crossing,97381,96876
861,2018,2,Ida B. Wells - Darrow Homes,307903,304664
870,2018,2,Hollywood Park,343826,347042
873,2018,2,The Bush,68398,69684
884,2018,2,Brighton Park,172552,171176
936,2018,2,Uptown,293563,289270
1010,2018,2,West Town,495521,488656
1081,2018,2,Kilbourn Park,291179,293171
1091,2018,2,East Ukrainian Village,524344,528236
1098,2018,2,West Rogers Park,296194,293734
1110,2018,2,Belmont Gardens,271740,273183
1114,2018,2,Roscoe Village,739479,746698
1122,2018,2,Lincoln Park,540401,542388
1129,2018,2,Jefferson Park,302917,300193
1144,2018,2,Golden Gate,45739,45295
1158,2018,2,New Eastside,526632,523089
1228,2018,2,West De Paul,779770,771197
1239,2018,2,Kelvin Park,268997,266469
10,2018,3,Albany Park,332346,329982
18,2018,3,Galewood,260376,259423
44,2018,3,Belmont Heights,263107,261558
46,2018,3,Edgebrook,456620,456335
48,2018,3,Jefferson Park,303087,304765
76,2018,3,North Kenwood,286128,286359
96,2018,3,Douglas Park,158682,156631
101,2018,3,Pilsen,309699,307511
168,2018,3,Pulaski Park,371191,368461
217,2018,3,Noble Square,480197,479275
240,2018,3,Riverdale,61847,59024
251,2018,3,Calumet River,64407,64052
286,2018,3,Near West Side,415784,414546
302,2018,3,Printers Row,259693,259411
324,2018,3,Wrightwood,179819,179743
325,2018,3,Brainerd,138411,138061
345,2018,3,O'Hare International Airport,333555,331839
348,2018,3,Fifth City,162125,161036
352,2018,3,Mount Greenwood,237675,236881
379,2018,3,Calumet Heights,141629,141200
424,2018,3,Gresham,125605,124433
431,2018,3,Heart of Chicago,233089,230037
451,2018,3,Brynford Park,380525,376611
493,2018,3,Ranch Triangle,736096,731900
521,2018,3,Gladstone Park,308858,307516
528,2018,3,Tally's Corner,360537,360676
537,2018,3,West Humboldt Park,165643,163499
556,2018,3,Fulton River District,478197,476318
643,2018,3,LeClaire Courts,163060,158930
653,2018,3,South Old Irving Park,348081,346603
677,2018,3,Mount Greenwood Heights,271952,273006
680,2018,3,Chinatown,329820,326491
689,2018,3,Irving Woods,264825,262767
692,2018,3,Marquette Park,148979,148079
722,2018,3,North Mayfair,331913,328997
740,2018,3,Andersonville,453197,450176
755,2018,3,Parkview,172268,174544
765,2018,3,Goose Island,488072,486847
770,2018,3,Beverly Woods,209559,208536
772,2018,3,Ukrainian Village,495428,493464
886,2018,3,Cragin,259983,259792
900,2018,3,The Robert Taylor Homes,89298,90753
913,2018,3,Hollywood Park,346233,347042
962,2018,3,Stony Island Park,148725,148846
977,2018,3,Clearing,221210,221551
981,2018,3,Sauganash Woods,405561,402096
983,2018,3,Groveland Park,345990,350001
984,2018,3,North Austin,186899,183430
1001,2018,3,Streeterville,487818,486274
1086,2018,3,Washington Park,95727,94876
