,RegionName,variable,value
0,Logan Square,1997-01,146203.0
1,Little Village,1997-01,0.0
2,West Rogers Park,1997-01,139693.0
3,South Austin,1997-01,0.0
4,Albany Park,1997-01,129790.0
5,Uptown,1997-01,123634.0
6,Lake View,1997-01,229907.0
7,Rogers Park,1997-01,105458.0
8,Gresham,1997-01,87676.0
9,Brighton Park,1997-01,94109.0
10,Englewood,1997-01,0.0
11,Jefferson Park,1997-01,166455.0
12,Portage Park,1997-01,170967.0
13,South Loop,1997-01,151537.0
14,Humboldt Park,1997-01,99166.0
15,Gage Park,1997-01,73392.0
16,Bridgeport,1997-01,167323.0
17,Edgewater,1997-01,106373.0
18,Lake View East,1997-01,153177.0
19,South Shore,1997-01,48157.0
20,Cragin,1997-01,135572.0
21,Back of the Yards,1997-01,0.0
22,West Lawn,1997-01,110227.0
23,Bronzeville,1997-01,92476.0
24,Belmont Central,1997-01,128644.0
25,Marquette Park,1997-01,93486.0
26,Garfield Ridge,1997-01,142411.0
27,Near North,1997-01,176250.0
28,West Pullman,1997-01,49107.0
29,South Chicago,1997-01,0.0
30,West Town,1997-01,210975.0
31,West Englewood,1997-01,0.0
32,North Austin,1997-01,61613.0
33,East Garfield Park,1997-01,0.0
34,Ravenswood,1997-01,177874.0
35,East Side,1997-01,77368.0
36,Hermosa,1997-01,77111.0
37,North Center,1997-01,243421.0
38,Roseland,1997-01,37462.0
39,Streeterville,1997-01,211319.0
40,West Elsdon,1997-01,106292.0
41,Bucktown,1997-01,241507.0
42,Hyde Park,1997-01,175063.0
43,Chicago Lawn,1997-01,69373.0
44,Chatham,1997-01,72446.0
45,Clearing,1997-01,133433.0
46,Avondale,1997-01,153539.0
47,Heart of Chicago,1997-01,127136.0
48,University Village - Little Italy,1997-01,220025.0
49,Morgan Park,1997-01,115967.0
50,Mount Greenwood,1997-01,140731.0
51,Archer Heights,1997-01,100097.0
52,O'Hare,1997-01,152421.0
53,Near West Side,1997-01,148670.0
54,Galewood,1997-01,122224.0
55,Park Manor,1997-01,68030.0
56,Montclare,1997-01,125216.0
57,Gold Coast,1997-01,238936.0
58,Irving Park,1997-01,165451.0
59,Scottsdale,1997-01,115759.0
60,West Humboldt Park,1997-01,0.0
61,Lincoln Park,1997-01,242292.0
62,West Garfield Park,1997-01,0.0
63,Ashburn,1997-01,106975.0
